batch_tag	page	url	viewport	lang	unit_id	visible_language_bodies	h1_text	critical_case_matches_first_sentence	section_order	timeline_nodes	source_ids	overflow_px	header_occlusion_px	long_source_title_overflow	mobile_menu	escape_focus_restore	reload_method	persisted_lang	console_errors	card_fields_checked	result	checked_at	note
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	zh	2026-report|zh|1280x900	zh	2025–2026中國人權狀況更新：壓制常態化與跨境延伸	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	real_navigation	zh	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	en	2026-report|en|1280x900	en	2025–2026 China Human Rights Update: Normalized Repression a	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	real_navigation	en	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	ja	2026-report|ja|1280x900	ja	2025–2026年中国人権更新：常態化する抑圧と海外への拡大	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	real_navigation	ja	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	ko	2026-report|ko|1280x900	ko	2025–2026 중국 인권 업데이트: 일상화된 탄압과 해외 확장	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	ko	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	es	2026-report|es|1280x900	es	Actualización 2025–2026 sobre derechos humanos en China	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	es	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	de	2026-report|de|1280x900	de	China-Menschenrechtsupdate 2025–2026	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	de	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	fr	2026-report|fr|1280x900	fr	Mise à jour 2025–2026 sur les droits humains en Chine	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	fr	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	no	2026-report|no|1280x900	no	Menneskerettighetsoppdatering om Kina 2025–2026	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	no	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	nl	2026-report|nl|1280x900	nl	Mensenrechtenupdate China 2025–2026	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	nl	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	2026-report	http://127.0.0.1:8765/posts/2026-report.html	1280x900	it	2026-report|it|1280x900	it	Aggiornamento 2025–2026 sui diritti umani in Cina	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	q26-s1,q26-s2,q26-s3,q26-s4,q26-s5,q26-s6,q26-s7	0	0	0	n/a	n/a	same_origin_iframe	it	0	n/a	PASS	2026-07-25	re-verified 2026-07-25 after the bf-04 page-shell repair: loose legacy blocks removed, three statistics moved into each language body inside .fact-grid; 0 loose children under <article>
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	zh	china-dissent-monitor-2025|zh|1280x900	zh	2025中國社會抗議觀察：工人、業主與農村居民	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	real_navigation	zh	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	en	china-dissent-monitor-2025|en|1280x900	en	China Dissent in 2025: Workers, Homeowners, and Rural Reside	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	en	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	ja	china-dissent-monitor-2025|ja|1280x900	ja	2025年中国の抗議：労働者、住宅所有者、農村住民	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	real_navigation	ja	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	ko	china-dissent-monitor-2025|ko|1280x900	ko	2025년 중국의 항의: 노동자, 주택 소유자, 농촌 주민	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	real_navigation	ko	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	es	china-dissent-monitor-2025|es|1280x900	es	Disenso en China en 2025: trabajadores, propietarios y resid	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	es	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	de	china-dissent-monitor-2025|de|1280x900	de	Widerspruch in China 2025: Arbeiter, Wohnungseigentümer und 	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	de	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	fr	china-dissent-monitor-2025|fr|1280x900	fr	Dissidence en Chine en 2025 : travailleurs, propriétaires et	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	fr	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	no	china-dissent-monitor-2025|no|1280x900	no	Protester i Kina 2025: arbeidere, boligeiere og bygdefolk	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	no	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	nl	china-dissent-monitor-2025|nl|1280x900	nl	Protest in China 2025: arbeiders, huiseigenaren en plattelan	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	nl	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	china-dissent-monitor-2025	http://127.0.0.1:8765/posts/china-dissent-monitor-2025.html	1280x900	it	china-dissent-monitor-2025|it|1280x900	it	Dissenso in Cina nel 2025: lavoratori, proprietari e residen	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	7	cdm25-s1,cdm25-s2,cdm25-s3,cdm25-s4	0	0	0	n/a	n/a	same_origin_iframe	it	0	n/a	PASS	2026-07-25	re-verified 2026-07-26 after the bf-05 container repair: all ten language bodies now share div.container.article-content.evidence-article, so every language keeps the same width and side padding
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	zh	fang-bin-citizen-journalist|zh|1280x900	zh	方斌：武漢公民記錄者與秘密判刑	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	real_navigation	zh	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	en	fang-bin-citizen-journalist|en|1280x900	en	Fang Bin: Wuhan Citizen Witness and Secret Sentencing	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	en	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	ja	fang-bin-citizen-journalist|ja|1280x900	ja	方斌：武漢の市民記録者と秘密判決	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	ja	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	ko	fang-bin-citizen-journalist|ko|1280x900	ko	팡빈: 우한 시민 기록자와 비밀 판결	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	ko	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	es	fang-bin-citizen-journalist|es|1280x900	es	Fang Bin: testigo ciudadano de Wuhan y sentencia secreta	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	real_navigation	es	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	de	fang-bin-citizen-journalist|de|1280x900	de	Fang Bin: Bürgerzeuge aus Wuhan und geheimes Urteil	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	real_navigation	de	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	fr	fang-bin-citizen-journalist|fr|1280x900	fr	Fang Bin : témoin citoyen de Wuhan et condamnation secrète	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	fr	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	no	fang-bin-citizen-journalist|no|1280x900	no	Fang Bin: borgerlig Wuhan-vitne og hemmelig dom	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	no	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	nl	fang-bin-citizen-journalist|nl|1280x900	nl	Fang Bin: burgergetuige uit Wuhan en geheime veroordeling	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	nl	0	n/a	PASS	2026-07-25	-
batch12-browser	fang-bin-citizen-journalist	http://127.0.0.1:8765/posts/fang-bin-citizen-journalist.html	1280x900	it	fang-bin-citizen-journalist|it|1280x900	it	Fang Bin: testimone cittadino di Wuhan e sentenza segreta	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	fb-s1,fb-s2,fb-s3,fb-s4	0	0	0	n/a	n/a	same_origin_iframe	it	0	n/a	PASS	2026-07-25	-
batch12-browser	guiyang-quarantine-bus-crash	http://127.0.0.1:8765/posts/guiyang-quarantine-bus-crash.html	1280x900	zh	guiyang-quarantine-bus-crash|zh|1280x900	zh	貴陽隔離轉運大巴事故：生命權與防疫權力問責	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	gqb-s1,gqb-s2,gqb-s3,gqb-s4	0	0	0	n/a:desktop	n/a:desktop	real_navigation	OK	0	n/a	PASS	2026-07-25	-
batch12-browser	guiyang-quarantine-bus-crash	http://127.0.0.1:8765/posts/guiyang-quarantine-bus-crash.html	1280x900	en	guiyang-quarantine-bus-crash|en|1280x900	en	Guiyang Quarantine-Transfer Bus Crash: Right to Life and Acc	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	gqb-s1,gqb-s2,gqb-s3,gqb-s4	0	0	0	n/a:desktop	n/a:desktop	real_navigation	OK	0	n/a	PASS	2026-07-25	-
batch12-browser	guiyang-quarantine-bus-crash	http://127.0.0.1:8765/posts/guiyang-quarantine-bus-crash.html	1280x900	ja	guiyang-quarantine-bus-crash|ja|1280x900	ja	貴陽の隔離移送バス事故：生命への権利と防疫行政の責任	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	gqb-s1,gqb-s2,gqb-s3,gqb-s4	0	0	0	n/a:desktop	n/a:desktop	real_navigation	OK	0	n/a	PASS	2026-07-25	-
batch12-browser	guiyang-quarantine-bus-crash	http://127.0.0.1:8765/posts/guiyang-quarantine-bus-crash.html	1280x900	ko	guiyang-quarantine-bus-crash|ko|1280x900	ko	구이양 격리 이송 버스 참사: 생명권과 방역 행정의 책임	yes	overview>timeline>evidence>state-machinery>rights-analysis>protection>sources	6	gqb-s1,gqb-s2,gqb-s3,gqb-s4	0	0	0	n/a:desktop	n/a:desktop	same_origin_iframe	OK	0	n/a	PASS	2026-07-25	-
